vpinsrd xmm1{k1}{z}, xmm1, ebx, 127 /home/goubermouche/dev/projects/assembler/new_tools/scripts/temp9.asm:2: error: mask not permitted on this operand
vpinsrd xmm1{k1}{z}, xmm1, ebx, -128 /home/goubermouche/dev/projects/assembler/new_tools/scripts/temp9.asm:2: error: mask not permitted on this operand
vpinsrd xmm1{k1}{z}, xmm1, ebx, -128 /home/goubermouche/dev/projects/assembler/new_tools/scripts/temp9.asm:2: error: mask not permitted on this operand
vpinsrd xmm1{k1}{z}, xmm1, r15d, 0 /home/goubermouche/dev/projects/assembler/new_tools/scripts/temp9.asm:2: error: mask not permitted on this operand
vpinsrd xmm1{k1}{z}, xmm1, r15d, 0 /home/goubermouche/dev/projects/assembler/new_tools/scripts/temp9.asm:2: error: mask not permitted on this operand
vpinsrd xmm1{k1}{z}, xmm1, r15d, 1 /home/goubermouche/dev/projects/assembler/new_tools/scripts/temp9.asm:2: error: mask not permitted on this operand
vpinsrd xmm1{k1}{z}, xmm1, r15d, 1 /home/goubermouche/dev/projects/assembler/new_tools/scripts/temp9.asm:2: error: mask not permitted on this operand
vpinsrd xmm1{k1}{z}, xmm1, r15d, 127 /home/goubermouche/dev/projects/assembler/new_tools/scripts/temp9.asm:2: error: mask not permitted on this operand
vpinsrd xmm1{k1}{z}, xmm1, r15d, 127 /home/goubermouche/dev/projects/assembler/new_tools/scripts/temp9.asm:2: error: mask not permitted on this operand
vpinsrd xmm1{k1}{z}, xmm1, r15d, -128 /home/goubermouche/dev/projects/assembler/new_tools/scripts/temp9.asm:2: error: mask not permitted on this operand
vpinsrd xmm1{k1}{z}, xmm1, r15d, -128 /home/goubermouche/dev/projects/assembler/new_tools/scripts/temp9.asm:2: error: mask not permitted on this operand
vpinsrd xmm1{k1}{z}, xmm2, ecx, 0 /home/goubermouche/dev/projects/assembler/new_tools/scripts/temp9.asm:2: error: mask not permitted on this operand
vpinsrd xmm1{k1}{z}, xmm2, ecx, 0 /home/goubermouche/dev/projects/assembler/new_tools/scripts/temp9.asm:2: error: mask not permitted on this operand
vpinsrd xmm1{k1}{z}, xmm2, ecx, 1 /home/goubermouche/dev/projects/assembler/new_tools/scripts/temp9.asm:2: error: mask not permitted on this operand
vpinsrd xmm1{k1}{z}, xmm2, ecx, 1 /home/goubermouche/dev/projects/assembler/new_tools/scripts/temp9.asm:2: error: mask not permitted on this operand
vpinsrd xmm1{k1}{z}, xmm2, ecx, 127 /home/goubermouche/dev/projects/assembler/new_tools/scripts/temp9.asm:2: error: mask not permitted on this operand
vpinsrd xmm1{k1}{z}, xmm2, ecx, 127 /home/goubermouche/dev/projects/assembler/new_tools/scripts/temp9.asm:2: error: mask not permitted on this operand
vpinsrd xmm1{k1}{z}, xmm2, ecx, -128 /home/goubermouche/dev/projects/assembler/new_tools/scripts/temp9.asm:2: error: mask not permitted on this operand
vpinsrd xmm1{k1}{z}, xmm2, ecx, -128 /home/goubermouche/dev/projects/assembler/new_tools/scripts/temp9.asm:2: error: mask not permitted on this operand
vpinsrd xmm1{k1}{z}, xmm2, edx, 0 /home/goubermouche/dev/projects/assembler/new_tools/scripts/temp9.asm:2: error: mask not permitted on this operand
vpinsrd xmm1{k1}{z}, xmm2, edx, 0 /home/goubermouche/dev/projects/assembler/new_tools/scripts/temp9.asm:2: error: mask not permitted on this operand
vpinsrd xmm1{k1}{z}, xmm2, edx, 1 /home/goubermouche/dev/projects/assembler/new_tools/scripts/temp9.asm:2: error: mask not permitted on this operand
vpinsrd xmm1{k1}{z}, xmm2, edx, 1 /home/goubermouche/dev/projects/assembler/new_tools/scripts/temp9.asm:2: error: mask not permitted on this operand
vpinsrd xmm1{k1}{z}, xmm2, edx, 127 /home/goubermouche/dev/projects/assembler/new_tools/scripts/temp9.asm:2: error: mask not permitted on this operand
vpinsrd xmm1{k1}{z}, xmm2, edx, 127 /home/goubermouche/dev/projects/assembler/new_tools/scripts/temp9.asm:2: error: mask not permitted on this operand
vpinsrd xmm1{k1}{z}, xmm2, edx, -128 /home/goubermouche/dev/projects/assembler/new_tools/scripts/temp9.asm:2: error: mask not permitted on this operand
vpinsrd xmm1{k1}{z}, xmm2, edx, -128 /home/goubermouche/dev/projects/assembler/new_tools/scripts/temp9.asm:2: error: mask not permitted on this operand
vpinsrd xmm1{k1}{z}, xmm2, ebx, 0 /home/goubermouche/dev/projects/assembler/new_tools/scripts/temp9.asm:2: error: mask not permitted on this operand
vpinsrd xmm1{k1}{z}, xmm2, ebx, 0 /home/goubermouche/dev/projects/assembler/new_tools/scripts/temp9.asm:2: error: mask not permitted on this operand
vpinsrd xmm1{k1}{z}, xmm2, ebx, 1 /home/goubermouche/dev/projects/assembler/new_tools/scripts/temp9.asm:2: error: mask not permitted on this operand
vpinsrd xmm1{k1}{z}, xmm2, ebx, 1 /home/goubermouche/dev/projects/assembler/new_tools/scripts/temp9.asm:2: error: mask not permitted on this operand
vpinsrd xmm1{k1}{z}, xmm2, ebx, 127 /home/goubermouche/dev/projects/assembler/new_tools/scripts/temp9.asm:2: error: mask not permitted on this operand
vpinsrd xmm1{k1}{z}, xmm2, ebx, 127 /home/goubermouche/dev/projects/assembler/new_tools/scripts/temp9.asm:2: error: mask not permitted on this operand
vpinsrd xmm1{k1}{z}, xmm2, ebx, -128 /home/goubermouche/dev/projects/assembler/new_tools/scripts/temp9.asm:2: error: mask not permitted on this operand
vpinsrd xmm1{k1}{z}, xmm2, ebx, -128 /home/goubermouche/dev/projects/assembler/new_tools/scripts/temp9.asm:2: error: mask not permitted on this operand
vpinsrd xmm1{k1}{z}, xmm2, r15d, 0 /home/goubermouche/dev/projects/assembler/new_tools/scripts/temp9.asm:2: error: mask not permitted on this operand
vpinsrd xmm1{k1}{z}, xmm2, r15d, 0 /home/goubermouche/dev/projects/assembler/new_tools/scripts/temp9.asm:2: error: mask not permitted on this operand
vpinsrd xmm1{k1}{z}, xmm2, r15d, 1 /home/goubermouche/dev/projects/assembler/new_tools/scripts/temp9.asm:2: error: mask not permitted on this operand
vpinsrd xmm1{k1}{z}, xmm2, r15d, 1 /home/goubermouche/dev/projects/assembler/new_tools/scripts/temp9.asm:2: error: mask not permitted on this operand
vpinsrd xmm1{k1}{z}, xmm2, r15d, 127 /home/goubermouche/dev/projects/assembler/new_tools/scripts/temp9.asm:2: error: mask not permitted on this operand
vpinsrd xmm1{k1}{z}, xmm2, r15d, 127 /home/goubermouche/dev/projects/assembler/new_tools/scripts/temp9.asm:2: error: mask not permitted on this operand
vpinsrd xmm1{k1}{z}, xmm2, r15d, -128 /home/goubermouche/dev/projects/assembler/new_tools/scripts/temp9.asm:2: error: mask not permitted on this operand
vpinsrd xmm1{k1}{z}, xmm2, r15d, -128 /home/goubermouche/dev/projects/assembler/new_tools/scripts/temp9.asm:2: error: mask not permitted on this operand
vpinsrd xmm1{k1}{z}, xmm15, ecx, 0 /home/goubermouche/dev/projects/assembler/new_tools/scripts/temp9.asm:2: error: mask not permitted on this operand
vpinsrd xmm1{k1}{z}, xmm15, ecx, 0 /home/goubermouche/dev/projects/assembler/new_tools/scripts/temp9.asm:2: error: mask not permitted on this operand
vpinsrd xmm1{k1}{z}, xmm15, ecx, 1 /home/goubermouche/dev/projects/assembler/new_tools/scripts/temp9.asm:2: error: mask not permitted on this operand
vpinsrd xmm1{k1}{z}, xmm15, ecx, 1 /home/goubermouche/dev/projects/assembler/new_tools/scripts/temp9.asm:2: error: mask not permitted on this operand
vpinsrd xmm1{k1}{z}, xmm15, ecx, 127 /home/goubermouche/dev/projects/assembler/new_tools/scripts/temp9.asm:2: error: mask not permitted on this operand
vpinsrd xmm1{k1}{z}, xmm15, ecx, 127 /home/goubermouche/dev/projects/assembler/new_tools/scripts/temp9.asm:2: error: mask not permitted on this operand
vpinsrd xmm1{k1}{z}, xmm15, ecx, -128 /home/goubermouche/dev/projects/assembler/new_tools/scripts/temp9.asm:2: error: mask not permitted on this operand
vpinsrd xmm1{k1}{z}, xmm15, ecx, -128 /home/goubermouche/dev/projects/assembler/new_tools/scripts/temp9.asm:2: error: mask not permitted on this operand
vpinsrd xmm1{k1}{z}, xmm15, edx, 0 /home/goubermouche/dev/projects/assembler/new_tools/scripts/temp9.asm:2: error: mask not permitted on this operand
vpinsrd xmm1{k1}{z}, xmm15, edx, 0 /home/goubermouche/dev/projects/assembler/new_tools/scripts/temp9.asm:2: error: mask not permitted on this operand
vpinsrd xmm1{k1}{z}, xmm15, edx, 1 /home/goubermouche/dev/projects/assembler/new_tools/scripts/temp9.asm:2: error: mask not permitted on this operand
vpinsrd xmm1{k1}{z}, xmm15, edx, 1 /home/goubermouche/dev/projects/assembler/new_tools/scripts/temp9.asm:2: error: mask not permitted on this operand
vpinsrd xmm1{k1}{z}, xmm15, edx, 127 /home/goubermouche/dev/projects/assembler/new_tools/scripts/temp9.asm:2: error: mask not permitted on this operand
vpinsrd xmm1{k1}{z}, xmm15, edx, 127 /home/goubermouche/dev/projects/assembler/new_tools/scripts/temp9.asm:2: error: mask not permitted on this operand
vpinsrd xmm1{k1}{z}, xmm15, edx, -128 /home/goubermouche/dev/projects/assembler/new_tools/scripts/temp9.asm:2: error: mask not permitted on this operand
vpinsrd xmm1{k1}{z}, xmm15, edx, -128 /home/goubermouche/dev/projects/assembler/new_tools/scripts/temp9.asm:2: error: mask not permitted on this operand
vpinsrd xmm1{k1}{z}, xmm15, ebx, 0 /home/goubermouche/dev/projects/assembler/new_tools/scripts/temp9.asm:2: error: mask not permitted on this operand
vpinsrd xmm1{k1}{z}, xmm15, ebx, 0 /home/goubermouche/dev/projects/assembler/new_tools/scripts/temp9.asm:2: error: mask not permitted on this operand
vpinsrd xmm1{k1}{z}, xmm15, ebx, 1 /home/goubermouche/dev/projects/assembler/new_tools/scripts/temp9.asm:2: error: mask not permitted on this operand
vpinsrd xmm1{k1}{z}, xmm15, ebx, 1 /home/goubermouche/dev/projects/assembler/new_tools/scripts/temp9.asm:2: error: mask not permitted on this operand
vpinsrd xmm1{k1}{z}, xmm15, ebx, 127 /home/goubermouche/dev/projects/assembler/new_tools/scripts/temp9.asm:2: error: mask not permitted on this operand
vpinsrd xmm1{k1}{z}, xmm15, ebx, 127 /home/goubermouche/dev/projects/assembler/new_tools/scripts/temp9.asm:2: error: mask not permitted on this operand
vpinsrd xmm1{k1}{z}, xmm15, ebx, -128 /home/goubermouche/dev/projects/assembler/new_tools/scripts/temp9.asm:2: error: mask not permitted on this operand
vpinsrd xmm1{k1}{z}, xmm15, ebx, -128 /home/goubermouche/dev/projects/assembler/new_tools/scripts/temp9.asm:2: error: mask not permitted on this operand
